nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,147,0,4.59375,33,0.07291666666666667,2.5714285714285716,5,0.17911588485054433
64,0,135,0,4.21875,40,0.06696428571428571,2.3340292275574113,5,0.3096637839518773
64,0,135,0,4.21875,28,0.06696428571428571,1.5358851674641147,3,0.33853594094136863
63,0,108,0,3.4285714285714284,24,0.05529953917050691,2.314432989690722,5,0.2579011914809513
64,0,147,0,4.59375,32,0.07291666666666667,2.5577235772357723,5,0.19389057475439306
64,0,115,0,3.59375,58,0.05704365079365079,1.065040650406504,2,0.38198580943833976
64,0,160,0,5.0,32,0.07936507936507936,1.576470588235294,3,0.3787206275032856
64,0,122,0,3.8125,62,0.060515873015873016,1.0615384615384615,2,0.4021617470949834
64,0,151,0,4.71875,23,0.07490079365079365,2.0,4,0.3487307171694092
64,0,151,0,4.71875,22,0.07490079365079365,2.022346368715084,4,0.34873358668033144
