nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16.0,0.0,38.1,9.3,4.7625,8.7,0.31750000000000006,2.4213467525088292,5.4,0.1356295172907015
16.0,0.0,36.7,8.2,4.5875,8.8,0.3058333333333333,2.33578469655278,5.6,0.11182092451393921
16.0,0.0,38.7,8.7,4.8375,9.1,0.32250000000000006,2.431199134904849,5.7,0.14552593846451367
16.0,0.0,48.1,9.0,6.0125,11.0,0.40083333333333326,2.2738367855088635,5.5,0.19575426091394502
16.0,0.0,35.6,8.6,4.45,8.0,0.29666666666666663,2.269640882680084,5.2,0.11607672412996084
16.0,0.0,41.8,6.4,5.225,9.0,0.34833333333333333,2.477449420449362,5.8,0.14164391894655054
16.0,0.0,41.0,7.5,5.125,9.0,0.3416666666666666,2.2119168040011887,5.2,0.17171491228070174
16.0,0.0,38.0,8.125,4.75,9.125,0.31666666666666665,2.319696008270412,5.625,0.11972176023187053
16.0,0.0,39.77777777777778,8.222222222222221,4.972222222222222,9.666666666666666,0.33148148148148143,2.4665990608429045,6.0,0.15399759917601274
16.0,0.0,37.22222222222222,8.222222222222221,4.652777777777778,9.555555555555555,0.3101851851851852,2.3664944509824277,5.555555555555555,0.13675924448493892
