nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
16.0,0.0,119.1,0.0,14.8875,22.3,0.9924999999999999,1.52875,3.0,0.5784535884699991
16.0,0.0,131.1,0.0,16.3875,25.2,1.0925,1.4579444444444445,2.6,0.6065835451945698
16.0,0.0,96.8,0.0,12.1,19.5,0.8066666666666666,1.7743333333333335,4.0,0.5131038934110245
16.0,0.0,187.4,0.0,23.425,27.8,1.5616666666666665,1.2200277777777777,2.3,0.8516141745359054
16.0,0.0,142.9,0.0,17.8625,24.3,1.1908333333333334,1.4099444444444444,2.9,0.6889937058964138
16.0,0.0,108.5,0.0,13.5625,20.0,0.9041666666666666,1.6337222222222223,3.5,0.5412200063317115
16.0,0.0,120.8,0.0,15.1,22.1,1.0066666666666668,1.52575,3.0,0.5967236319086091
16.0,0.0,145.3,0.0,18.1625,24.5,1.2108333333333332,1.4081944444444443,3.0,0.6930969000581662
16.0,0.0,192.5,0.0,24.0625,29.1,1.6041666666666667,1.1944166666666667,2.2,0.8683189899666189
16.0,0.0,181.8,0.0,22.725,28.5,1.515,1.24025,2.3,0.843771381914096
