nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
32,0,92,22,5.75,9,0.18548387096774194,3.5259026687598114,9,0.07677235958485958
32,0,94,23,5.875,9,0.18951612903225806,3.085227272727273,8,0.04608134920634921
32,0,93,21,5.8125,9,0.1875,3.4301412872841444,8,0.054995612026862026
32,0,94,21,5.875,11,0.18951612903225806,3.4503937007874015,9,0.061986998746867174
32,0,94,22,5.875,10,0.18951612903225806,3.2179732313575524,9,0.10301148504273504
32,0,94,22,5.875,14,0.18951612903225806,3.847244094488189,10,0.08412030677655677
31,0,92,21,5.935483870967742,10,0.1978494623655914,3.3692307692307693,8,0.07542045767852218
32,0,92,22,5.75,9,0.18548387096774194,3.5142857142857142,9,0.0613343253968254
32,0,94,24,5.875,10,0.18951612903225806,3.963963963963964,11,0.06684441137566138
32,0,93,22,5.8125,11,0.1875,3.9884763124199742,12,0.06319444444444444
