nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
31.9,0.0,93.8,22.4,5.881048387096774,9.9,0.19034946236559142,3.74433179023636,9.8,0.0746923176902485
31.9,0.0,87.2,22.9,5.467338709677419,9.8,0.17696236559139786,3.446435325315838,9.1,0.061058467741935483
31.9,0.0,93.2,22.0,5.843548387096774,10.2,0.18913978494623654,3.5392839015304793,9.3,0.06937617502796832
32.0,0.0,90.8,21.3,5.675,10.1,0.18306451612903224,3.966835065626377,10.6,0.08098555073738897
32.0,0.0,91.7,25.9,5.73125,10.5,0.1848790322580645,3.781811794966621,9.7,0.042386664261664264
32.0,0.0,92.7,19.0,5.79375,11.7,0.1868951612903226,3.5782696834445544,9.0,0.05531709898897399
31.9,0.0,90.3,21.3,5.661895161290323,10.5,0.18326612903225808,3.7574281082953247,9.1,0.06500744028969838
31.8,0.0,81.0,18.6,5.094556451612903,10.1,0.16544354838709677,3.549451122876789,9.2,0.06282825232597831
31.9,0.0,91.3,23.4,5.724193548387097,10.4,0.18526881720430105,3.582597892898922,9.0,0.04778754331505287
31.9,0.0,89.4,24.7,5.604637096774193,9.0,0.18138440860215052,4.2059466873872555,11.1,0.06243974281020652
