nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
64,0,632,36,19.75,51,0.3134920634920635,2.483539094650206,8,0.2851995270039009
64,0,623,38,19.46875,54,0.3090277777777778,2.3229198886483142,5,0.2586418816656157
64,0,632,38,19.75,48,0.3134920634920635,2.3816029143897994,7,0.2650759912566709
64,0,640,34,20.0,48,0.31746031746031744,2.2222222222222223,5,0.28674229444536825
64,0,632,38,19.75,48,0.3134920634920635,2.358067571834544,7,0.2721458122167257
64,0,632,37,19.75,42,0.3134920634920635,2.3791483113069014,6,0.25594138121949855
64,0,618,30,19.3125,52,0.30654761904761907,2.1944540727902946,5,0.26876000131152517
64,0,631,36,19.71875,52,0.31299603174603174,2.2705561241896963,6,0.2766031480878284
64,0,605,38,18.90625,50,0.30009920634920634,2.3548498446668966,6,0.27455649077634714
64,0,632,36,19.75,49,0.3134920634920635,2.3385093167701863,7,0.2403482665723159
