nodes,isolates,edges,self_loops,degree,max_degree,density,distance,max_distance,clustering
8.2,0.0,6.1,0.0,1.4789710289710292,2.9,0.24487512487512492,1.0,1.0,0.0
3.6,0.0,2.5,0.1,1.2333333333333334,2.0,0.4866666666666667,0.9,0.9,0.0
1.4,0.0,1.1,0.1,0.45476190476190476,0.9,0.14523809523809522,0.3,0.3,0.0
5.3,0.0,4.7,0.9,1.6445238095238097,3.6,0.47325396825396815,0.9375,1.0,0.0
0.8,0.0,0.6,0.0,0.3,0.6,0.1,0.2,0.2,0.0
0.3,0.0,0.2,0.0,0.13333333333333333,0.2,0.06666666666666667,0.1,0.1,0.0
4.2,0.0,2.9,0.0,1.2190476190476192,2.0,0.5014652014652015,0.9,0.9,0.0
3.9,0.0,3.7,0.7,1.7,3.5,0.7166666666666667,0.9,0.9,0.010256410256410256
6.8,0.0,5.1,0.0,1.4904761904761905,2.9,0.3,1.0,1.0,0.0
0.4,0.0,0.3,0.0,0.15,0.3,0.05,0.1,0.1,0.0
